word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment
personal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0.5223753956834529
add,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0.4038157514450867
down,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,692,0,0.3143569364161849
said,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0.05528697539797392
talking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0.41326226415094375
issue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0.1779189781021897
feels,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0.5203710102489012
message,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0.0640944117647059
generate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0.22522779411764718
number,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0.0699091715976331
doing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0.2952288490284007
though,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,669,0,0.33552077727952173
code,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,0.2914250384024579
useless,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,650,0,-0.42855353846153854
paid,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0.11106099071207443
few,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0.3283066563467493
trust,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,0.5211706976744181
